Player,Team,0,1,2,3,4,5,6,cluster
Joel Embiid,PHI,-2.594302522235757,2.781543270896064,-2.3711772330963257,2.691007737976148,-3.1288849449708556,0.8155079230315709,-2.865513153177793,9
LeBron James,LAL,-1.8648528186328572,0.4378116958342939,-1.5701926365655368,0.7904015854757559,-0.39988233979947085,-0.48804845464119795,2.4099320362214307,10
Giannis Antetokounmpo,MIL,-2.4311607503930026,2.8923055307781715,-2.019342099977312,1.5503948873159976,-3.414995296318923,0.27572758714854234,-0.950786764849006,9
Kevin Durant,BRK,-1.659734545647194,1.2360097814460218,-2.060065879071675,0.6399154415412291,-1.2717686641900596,-0.9674938457286052,0.8912755155700193,10
Luka Doncic,DAL,-2.3666577618568208,0.06021938673124039,-1.9358601148940844,-0.6036952655415387,-1.7749218273533791,2.131713483890796,0.2627540864023137,6
Trae Young,ATL,-2.87938106032892,-0.05303940058444425,-3.957068266329389,-1.2475696066833326,-2.881151097228739,-1.4591084397893794,0.5771125388772552,10
DeMar DeRozan,CHI,-2.9271646807842617,2.7194506935454617,-4.205194916066606,1.2261049558222157,1.474225862748975,-2.3344778295272945,-1.5695755990440652,11
Ja Morant,MEM,-1.6576501139183124,1.168909769646634,-2.690302740100142,-0.11681085534086472,0.5149363012622057,-1.3326231491324414,-0.353588478334163,10
Nikola Jokic,DEN,-2.5997345984023648,2.748037700011864,-1.1202742692548164,-0.44344100112498414,-2.0408884600181763,1.8064446144227302,4.63675641802422,12
Jayson Tatum,BOS,-2.7632106392344706,-0.19733801865928494,-1.94957959946094,2.0371669011395483,-0.6074681650760401,1.4864548801575723,0.003603383593742476,10
Devin Booker,PHX,-2.2660216212554443,0.08630334346942824,-2.423092521865655,1.1223746154270986,1.0866194213257694,-0.8222660375461998,0.01704653011985447,2
Donovan Mitchell,UTA,-2.034008220429485,-1.128271029553676,-2.0034685724451693,0.7920096241051593,-0.012911831113340072,-0.7237812098423675,0.5652925513030715,2
Stephen Curry,GSW,-1.65472363106877,-1.6961849911565792,-1.251239423254203,0.5346702112034902,-2.3436886694536034,0.24547796518323348,1.5466805913439392,10
Karl-Anthony Towns,MIN,-2.0598922713695025,1.5184326737384986,-0.9195625547539885,1.853464786623688,-1.5097584406654097,-0.014207132036967607,0.8079153580659255,10
Zach LaVine,CHI,-1.6600861033211969,-0.08299774320679741,-1.970123350729114,1.194925399961525,-0.9269882065758328,-0.8676736478370656,0.2957093170078021,10
Jaylen Brown,BOS,-1.6442102070725888,-0.042356212734286594,-1.372496691629752,1.349692333157746,0.6154645827898483,-0.04659632329905599,0.17708462748914783,2
De'Aaron Fox,SAC,-1.2836343873523166,0.774296869213126,-2.1844777393107555,-0.2974862124732337,1.2449641079306268,-1.2201058730366425,-1.4914566752096554,8
Pascal Siakam,TOR,-1.7747954775276524,1.6229908854270092,-1.5873752063037976,-0.06309605353572782,1.403516989111751,0.4632655506506875,-0.47320285750331237,0
C.J. McCollum,NOP,-1.3125279809581463,-0.7235737990387133,-1.4357898297408531,0.017928585463730735,1.8870649619179805,-0.4541543775621179,1.2501557876197598,2
James Harden,PHI,-1.2508497318174474,0.268891245781401,-1.606524910676418,-2.2728293580997203,-4.829067469755193,1.9683953233474392,-1.7411468076946461,6
Darius Garland,CLE,-1.5109006077644114,-0.39235841965482326,-2.277701738500715,-2.109599967182112,-0.042334954710986916,-0.8980574055440416,1.6106012635502875,4
Anthony Edwards,MIN,-1.6077701854706274,-1.0515087382612123,-1.2563532669138555,1.0234407751368542,0.2660119359215855,0.17519522764448903,0.12517089368699078,2
Dejounte Murray,SAS,-1.7050203051493376,0.8492158992453711,-1.7367636297453413,-2.668859635086353,1.8110087901230867,2.062825159017998,1.337118533852296,4
Tyler Herro,MIA,-1.2438977122019317,-0.4479145716290389,-1.382361104978075,0.5522442529225872,1.01143062438979,0.24544843935469224,0.5005731617842183,2
Fred VanVleet,TOR,-1.118079633939779,-1.7035346106648894,-0.9103865793485124,-0.7581833300380825,-0.9220650829825807,0.8287718899758825,0.3052376595900972,6
Miles Bridges,CHA,-1.7689190317935024,0.36296948744530466,-0.9818500631858453,1.1333979359729502,-0.15058582909902868,0.716151242727527,1.379085195740981,10
LaMelo Ball,CHA,-1.6924097878756608,-0.7414193139451861,-0.9941501297132695,-1.8208331243871372,-0.1822260781329566,1.6010296581911347,0.9053368709934358,4
Julius Randle,NYK,-1.6710778132862938,0.5198889186101032,-0.9358039883672015,-0.13918327980551326,0.6842335452192027,3.7225220030352126,-2.4313699304171053,13
Khris Middleton,MIL,-1.075815940410563,-0.29125033149934654,-1.1132640977383987,-0.2354535583930916,-0.809850036815876,0.4545028187665755,-0.3226015104900831,6
R.J. Barrett,NYK,-1.425234306204006,-0.05344892547123104,-1.648252027354965,1.221900466657206,1.1342249631066994,1.2564146528461664,-3.1110286991546228,13
Terry Rozier,CHA,-1.3269975302375623,-1.2626540399057948,-1.1357005657029493,0.3808410243985867,0.6127569243417377,0.05971803080801617,1.781651442761382,2
Domantas Sabonis,SAC,-0.7003169477090182,2.059201937057184,0.12324289536966818,-0.4084298652405259,-1.168272419611981,1.1094764149106404,0.9092843939013235,7
Jordan Poole,GSW,-1.157458401073452,-1.0595709749134912,-0.9480384335099394,0.5355698950584351,-1.3473111089335679,-0.6339402831554772,0.2782156752478245,10
Russell Westbrook,LAL,-1.7144816381195738,1.1143340161365611,-1.6917498032532,-2.153808071006164,1.189823590528654,2.191521130309426,-1.8462234462295504,13
