Player,Team,0,1,2,3,4,5,6
Drechsel T. ,EWE Baskets Oldenburg,-1.3768345197612608,-0.7991547633687645,-0.7982207884896344,1.3076864466214522,0.05962522020947334,0.8462779787958544,-1.512878002617666
McCullum K. ,Veolia Towers Hamburg,-1.1367038163557037,1.5247925062184884,-2.2461675384587254,-1.3323395253897976,-2.293472423674735,-2.141961976470535,-2.31608549923642
Lewis Je. ,ROSTOCK SEAWOLVES,-1.1013141760710694,1.3408826754957366,-1.947484296487187,-2.8538735059423748,-3.5612805269853047,-0.7322232261834426,-1.2487328274495673
Frey H. ,BG Göttingen,-0.9034885663453306,-0.6927241988975781,-1.3419840119064452,0.09658114019741937,-3.43173556355128,-1.6144581771438156,-0.436751549733956
Smith M. ,BG Göttingen,-1.1697734157306157,-0.9423943950358402,-0.5018108426751082,1.0607116850598262,-1.3052611546859338,1.6602013960506405,-1.8436933656976766
Nelson T. ,ROSTOCK SEAWOLVES,0.46447332365929916,-1.4058785430913023,0.7739735333898465,0.7763073876511223,-0.6845328746016655,-0.4657869137115972,1.1153955861386449
dos Santos Y. ,ratiopharm ulm,-0.9539424152623276,-1.183073799943214,-0.8432471011412556,-1.0953804185485942,-2.503704168619803,0.6814725354520121,0.13158763344370378
Obiesie J. ,FRAPORT SKYLINERS,-0.8996810429604788,-0.1647356946916229,-0.9712470668485067,0.3731434052468797,-2.487363246411222,0.6474327709982303,-3.219996740751704
Clyburn K. ,SYNTAINICS MBC,-1.3150132517003965,-1.2562165291362093,-1.1496091683319507,0.38076556974923,0.618348948106752,0.0532372607615461,1.7840410470326111
Hobbs B. ,Basketball Löwen Braunschweig,-0.9852528022521855,-2.8377075803208354,-0.03022236905978375,-2.23274035339054,-2.7682915760017015,2.305161412294055,2.7669194330334217
Winston C. ,FC Bayern München,-0.7369825516041005,0.24600081133512688,-1.484802764357889,0.024915233364953642,-1.612404918701928,-2.378486153003993,-0.3367656456565835
Bryce C. ,Würzburg Baskets,-0.6966139461791361,0.41422062636563023,-0.7778876871162484,1.7898754665535954,0.11426347020530148,-2.51775260682365,0.6434147694684568
Mushidi K. ,SYNTAINICS MBC,-0.7147048996182594,-1.4315642586080548,-0.4695460161661289,0.9131509447850542,-1.0168056423804932,-0.7717435194560907,-0.7299315517036522
Meisner L. ,Veolia Towers Hamburg,-0.7960874839846641,-0.5183053024861857,0.11026767021832341,1.8872819618021714,-0.02043654069571155,1.1368854567953632,-0.2686393571315495
Crandall G. ,BG Göttingen,-0.6251068855921444,0.20555409850428633,-0.5213160998181648,-0.9932078364103095,-2.6599723044814154,-1.0470507590454914,-0.5853098402353297
Ugrai M. ,MLP Academics Heidelberg,-0.6472059981299747,-0.07821533240574348,-0.17491183858720818,1.358129977697861,-1.574577243511508,0.10665547229246036,-3.0655108501447885
Hill A. ,medi bayreuth,-0.6529332220632909,-1.3862574645424386,0.18757942479582063,1.5552236926527852,-0.5080842809742073,0.35257994719481367,0.1133712569895758
Lewis J. ,HAKRO Merlins Crailsheim,-0.8019525560820713,0.3854848350420777,-0.4210485170002966,0.6281105264873615,0.7360700420752851,1.3929929720917635,-0.7352034110439366
Wank L. ,FRAPORT SKYLINERS,-0.6310406252492622,-1.3534466332844646,0.10760760885344944,0.5789165216552543,-0.6158345997551232,0.256281793961349,0.2509769085607394
Maxhuni E. ,HAKRO Merlins Crailsheim,-0.6089563195217734,-0.7421444460634222,-1.1723476029266637,-0.5875136439356756,-1.1341627815756756,-1.2559898732645403,-1.6666309441958191
Miller P. ,Brose Bamberg,0.768356061806464,-0.2988193824723516,0.5157415112005813,-1.4126896661281334,-1.0598730967535572,0.061720711459354455,-0.7351551748811745
Hammonds R. ,BG Göttingen,-0.6661201402468383,0.9476689501034126,0.27684050390453374,1.2071168132826589,1.2076957404521331,-0.3878563125281597,0.7536952965843677
Sengfelder C. ,Brose Bamberg,-0.602885789546385,-0.1358844642229593,0.28285123706487236,1.4465803351935402,0.5816047234443671,0.8119884926876356,0.4191590093594781
Filipovity M. ,NINERS Chemnitz,-0.25872000655299854,-1.0551296745565166,-0.40403041266881484,2.316327127446548,-1.3784906654827433,-1.6727768839369652,-0.21420273689177866
Woodard J. ,Veolia Towers Hamburg,-0.49391799749341164,-1.4124094143250485,-0.09796901827807794,0.5716620722559597,-0.20449555392070345,0.2238014578349904,-0.12494749620842178
Jallow K. ,ratiopharm ulm,-0.4266477461626041,0.3701802183252905,-0.11099077209221066,1.3355308357910218,0.011601279588080554,-0.8898955907815999,-0.27268496557963806
Rowe J. ,medi bayreuth,-0.4853712945855636,0.5074805601187422,-0.0017549985828626301,0.10536209239211469,-1.168664081095451,1.548077315778633,-1.3381092824026253
Delany F. ,Telekom Baskets Bonn,-0.3762671674727988,-0.40718173962510684,0.4805454812226916,0.42993795172695404,-0.38243664049176246,-0.4696963392733007,1.070987113475832
Young S. ,Brose Bamberg,-0.4138220197494559,-0.46122921931029265,0.7180121609517601,1.984565131492814,-0.3691363605231126,1.233193302166205,-0.5547809622537779
Kesteloot V. ,MLP Academics Heidelberg,-0.3354847258083084,0.7168608598845828,0.12583827496953925,1.7968456681492406,0.11618076968853776,-0.465171370518314,0.20889770257186033
Breunig M. ,SYNTAINICS MBC,-0.3994125406166192,2.1397217069353682,-0.16149412182101297,0.7323657166642893,0.6714928762252855,-1.3634214792389465,-1.1171303245897601
Coleman T. ,MLP Academics Heidelberg,-0.3556927972440277,-0.25351548986580225,0.1711677716760921,1.4009971647873174,-1.9102921985359815,0.7829812784431778,-3.1654773469069655
Polas Bartolo Y. ,MHP RIESEN Ludwigsburg,-0.2298232423367999,0.8737142384624681,0.1269702454977645,0.5981553481022694,-2.3186168453462677,-0.1136388449822091,-1.977215548538019
Velicka A. ,NINERS Chemnitz,-0.3270406603187343,-1.1810606212882242,-0.8005049817641787,-3.5315676294004157,-5.115922505915194,1.466001366855264,-1.0455743960414956
Leissner T. ,EWE Baskets Oldenburg,-0.09881857183574518,0.2664593403835195,0.5611449189728377,1.8400732915108085,-2.3032702677481285,-0.8589352931174077,0.5608228740658401
Yebo K. ,NINERS Chemnitz,-0.03903204923448279,2.35666717736714,0.16075317172125664,1.5640859037068549,-2.427337468920184,-2.4809005146958234,-0.5615642418895134
Smith J. ,ALBA BERLIN,-0.1388315625271044,-0.7906929909825392,-0.46142594364172773,0.36858735880317356,-1.2303433413127074,-1.5530927431243315,0.8241781178451394
Kratzer L. ,Telekom Baskets Bonn,-0.30635983486847906,2.362242622443646,0.7745558935031861,0.6841253244253829,1.753576678729297,-2.465734463883794,2.8769678270109695
Amaize R. ,Basketball Löwen Braunschweig,-0.5375050707929009,-0.5451043485015189,-0.4591933199536709,-0.9991039086495325,0.17248238701818952,1.4870726314425118,-2.5664948498117806
Pape T. ,BG Göttingen,-0.09200668577624448,0.7552862516980772,-0.01129332321109422,1.2280664099976608,-0.5818711330194074,-2.8293677783357114,0.39433565390765696
Bohacik J. ,Brose Bamberg,-0.3694631870854077,-0.7158256660480771,0.414173227255149,-0.06826853650938937,-0.4796041071060997,0.8388966258369794,0.0506167280929038
Livingston II O. ,HAKRO Merlins Crailsheim,-0.3050380481258599,0.08960571243569142,-1.1002301285977232,-0.7853515574827548,0.6289566307018349,-1.5854488105359488,-0.03440581762208786
Pjanic A. ,EWE Baskets Oldenburg,-0.11628325182977968,-0.8361281700230144,0.6282293292606299,1.4507897141277057,-0.6076601749115917,-1.3995477641596938,0.4385498803310146
Mikalauskas A. ,HAKRO Merlins Crailsheim,0.05213021496659396,-0.505829821873341,0.6836544698604884,0.7228580819078955,-2.0107036594938483,-1.0084018346126147,0.49190463932604406
Pearson N. ,ROSTOCK SEAWOLVES,-0.4246537017663319,0.36598017497126145,-0.054097707276419,-0.009705290991127035,1.7819872990352725,1.7645186196291345,-0.4280872301931384
Darden T. ,SYNTAINICS MBC,-0.15181649389863056,0.7976851008091292,-0.17125410336070257,0.8890780735693902,0.798915859924821,-0.4719663023927688,-0.6943293970330303
Susinskas M. ,NINERS Chemnitz,-0.1524636891030971,-0.42211391348162836,0.27882744030873724,0.23230908677942397,-0.6450836786929863,0.21840671579489185,0.27678893652509123
Callison C. ,SYNTAINICS MBC,-0.3818366474208274,-0.5086358200505506,-1.1467941159546842,-1.5874990684167034,1.6542676636998126,-0.45846967586802806,-0.7522296189187316
Frazier J. ,FRAPORT SKYLINERS,-0.2581666945409905,-0.888801846535635,0.14294388533597008,-0.9841965360446291,0.16849400118672062,0.30683798912325777,-0.9416898001676784
Herrera S. ,Telekom Baskets Bonn,-0.13455637771725848,-1.1755237850962068,-0.29605066062402097,-0.717625725051659,-0.5613294900461224,-0.37511951561828644,-0.5645844595407369
Richter J. ,NINERS Chemnitz,-0.19155447843485873,1.5529475747541819,0.32066659603953795,0.3584605173803893,2.17084269896979,-1.345981755354851,1.336940020942899
Sargiunas I. ,medi bayreuth,-0.05009866880137937,-0.38611918633561637,-0.35190404578038165,0.26279966254911036,-0.4902875397255143,-0.961093513550903,-1.224175144295358
Ward T. ,Telekom Baskets Bonn,-0.06167304818795939,-0.3739506912333348,0.3947157405736639,0.6503713266109576,0.07240444186418994,-0.380323387840577,0.1581900978373662
Stuckey M. ,HAKRO Merlins Crailsheim,0.05904601596179809,-1.7184135448789741,0.9394050822334488,0.8344655044373052,-1.0799162015578256,-0.6349128243835374,0.2150592901012504
Mawugbe S. ,ROSTOCK SEAWOLVES,0.06947250600572993,2.468449609096968,1.5786758252703688,1.069394434022347,-1.1798974406648555,-0.7466311163596623,-0.37909288639481037
Klepeisz T. ,ratiopharm ulm,0.0841910902375736,-1.6644195752066635,0.6725440432620526,-0.9407120785904087,-2.52744857082622,-0.3299608336280093,1.0268302835479783
Samar Z. ,Veolia Towers Hamburg,-0.16207723731956972,0.1257021845327812,-0.4338197919504413,-3.0149943296820494,-1.7220589788466591,0.9968095718775928,-1.0822031728123904
Stephens M. ,HAKRO Merlins Crailsheim,0.017957402931439513,0.6797710723423109,0.7032473433536471,1.2046645083897287,0.19066270499334595,0.011865217014947024,0.6720397001801273
Hawley J. ,ratiopharm ulm,0.12643612771204743,0.728310478931908,0.5464056572810655,1.2245172897625052,-0.15203534403924168,-0.9803725872470466,0.563124617907338
Nunez J. ,ratiopharm ulm,-0.1387782875822365,0.6425868423235594,-0.9214515042974732,-1.9667511753589677,-0.5619481455617196,1.1013112058196282,-2.185250719284281
Childs Y. ,Veolia Towers Hamburg,-0.13628203327613414,1.7284638558167935,0.044415467000554716,0.4773245358140425,2.5831962999734612,-0.11238814877521448,-0.24705443993119505
Rubit A. ,FC Bayern München,0.31268490517566255,1.2645061746160446,-0.4007278039947138,1.0734673108807782,-2.488176349650014,-1.2183215381626014,-1.6394114536606728
Johnson J. ,MHP RIESEN Ludwigsburg,-0.055593947865309995,0.11825645544240959,0.180301130626874,0.6028058910446652,0.7743132287632546,0.660325623365215,-0.7233890655981092
Lasisi E. ,MLP Academics Heidelberg,0.07400077371078964,-1.46433470494458,0.10093415796488539,0.5728978501974665,-0.10894131050867221,0.5944902266837182,0.13081936404644418
Thiemann J. ,ALBA BERLIN,0.37033035430264977,1.3804005304725033,0.015817936792302884,0.14164722685750114,-2.9291087086758534,-1.377586833650326,-0.556938451802091
Christen R. ,ratiopharm ulm,0.18263174582353275,-1.4972540035493849,1.0866274219397147,1.2462596978669793,-1.0738996000087886,0.05683038583960888,0.25879650764221956
Weidemann N. ,NINERS Chemnitz,-0.039166781479460844,-0.8090663729621637,-0.28680944387509355,-0.4991177228676543,-0.9492490980143202,0.4649043051687348,-1.2118230063165718
Bell A. ,Brose Bamberg,0.12082129505038874,0.5955125373994616,-0.08055269722820467,-1.8453811028735083,-0.46090769082740257,-1.289468973618125,0.04779170292486085
Whitehead I. ,MHP RIESEN Ludwigsburg,0.13509728725085768,-0.36252692897882655,-0.6964737708955729,0.14727522802870882,-0.6867687770902181,-0.3377281953182543,-3.423354413077597
Morgan J. ,Telekom Baskets Bonn,0.5089089773558406,-0.30996555463452297,0.40410179855731077,1.0524308180954622,-2.835942484360267,-1.786713141969117,0.11748402275106733
Malcolm C. ,Telekom Baskets Bonn,0.26459805880208564,0.18495367964842965,0.2143645459586478,0.431887515854358,-0.2126583072151322,-1.176089206484271,1.4077919076591257
Uguak A. ,NINERS Chemnitz,0.11137255316206071,-0.20192703007820256,0.26401613308453153,0.3129638059860781,0.1590982927617751,0.38114284251035596,-0.8267405462619641
Olinde L. ,ALBA BERLIN,0.40300244919631506,0.37031661472925664,0.49241382501381953,0.6149113914294304,-1.6176768447005472,-1.5170160071630303,0.9221098168220516
Midtgaard A. ,HAKRO Merlins Crailsheim,0.3299599140453885,1.7775000491454458,0.3686934849434059,1.0770220086009894,-0.056088915611018746,-1.9335270999643035,-0.18077963291613394
Bess J. ,BG Göttingen,0.1462196632617947,-0.7042070773774849,0.6078280364668649,0.08414727603146,0.5192204767827368,1.2465526801145714,0.2886722729723416
Kamp H. ,BG Göttingen,0.1903419765239721,1.0253304230432274,-0.04803490992491979,-0.19310215171230433,1.0570189008972906,-2.2735583946722056,-0.5412172947407324
Young K. ,medi bayreuth,0.17913557927469642,1.8428588986562315,0.7039355454341133,0.42088486448453855,0.8111576736829526,-0.2533988854592951,-1.5765199073517124
Reaves S. ,Brose Bamberg,0.38294872088801607,-0.9346140126348405,0.9378870065045561,0.6243629516977033,-0.6262253820814151,-1.4145794676568257,0.43071465160235567
Klassen O. ,EWE Baskets Oldenburg,0.27799920812345097,1.7899931499318587,0.6372591769624798,0.18981181265379174,-0.158961450362498,-0.6026667099181202,-1.1069937907565415
Stanic F. ,Würzburg Baskets,0.09819616951799462,1.663444681015322,0.44221816827719274,0.346491121318202,1.8240606359521996,0.7435509054059051,-2.6720025008212267
Schneider T. ,ALBA BERLIN,0.4019810053648274,-0.407215302146125,0.628243980046545,0.947844895691163,-0.060913837914733454,-0.8836353792879814,1.588384648015577
Bryant J. ,SYNTAINICS MBC,0.8599375354897977,1.5004316650321374,1.5626726016670964,-1.4661752079406134,-0.5325817758370132,0.6648537822026732,-0.18366844506249233
Wohlrath K. ,Brose Bamberg,0.3853057750940824,-0.7697659392713829,0.7561337506449956,0.7279449466903366,0.1383103672145175,-0.8707007208683347,1.4257285682204375
Chachashvili G. ,Brose Bamberg,0.42938388867751,1.7555424199598169,1.077703686985645,0.07876437296964102,-1.3091249074655322,-1.6851580221901243,-0.746550949322026
Bango J. ,Basketball Löwen Braunschweig,0.49246966037916945,1.779865259618846,0.5157816602388099,0.9272618844163437,-0.38673800789416624,-1.458536129584157,-0.15712022223445027
Zoosman Y. ,ALBA BERLIN,0.5352173223239289,0.14249579209028962,0.3226919943684942,0.1872538792986767,-1.4059588885356622,-1.0925631546998025,-0.003814368183237847
Tischler B. ,Basketball Löwen Braunschweig,0.4262093186454653,0.7667488669280079,0.5895993758940464,0.5473013793325374,-0.15428629619739098,-0.37631627845222476,-1.1688862670487479
Hinrichs S. ,Veolia Towers Hamburg,0.2838650507742251,0.5005879588003023,0.4278949882050765,-1.4189986647641692,0.39583275540376495,-0.04372196837171462,0.17302239001324865
Miller S. ,MHP RIESEN Ludwigsburg,0.5262036498709741,1.346312100284079,0.6477949181672246,0.8148094267517376,-0.17817857328886103,-1.8341670335943903,0.4888412859687254
Weiler-Babb N. ,FC Bayern München,-1.1875619110857212,-0.94652892557557,-0.5363521106070109,1.1503712400684831,0.8706742286331697,-0.24236406121564824,1.4042435455721596
